Player,Team,Position,Minutes,Goals Added,League,Goals Added p90
Jonathan Bolanos,WES,W,674,-0.18,USL1,-0.024035608308605343
Beckett Howell,RIC,FB,248,-0.18,USL1,-0.06532258064516129
Christian Ortiz,AVA,FB,117,-0.19,USL1,-0.14615384615384616
Klaidi Cela,RIC,CB,486,-0.19,USL1,-0.03518518518518519
Tyler Pasnik,FCN,W,140,-0.2,USL1,-0.12857142857142856
Derek Gebhard,MAD,W,637,-0.2,USL1,-0.0282574568288854
Taylor Gray,TRM,W,86,-0.21,USL1,-0.2197674418604651
Ozzie Ramos,TXO,DM,561,-0.21,USL1,-0.033689839572192515
Kempes Waldemar Tekiela,KNX,ST,446,-0.22,USL1,-0.04439461883408072
Luke McCormick,TXO,W,59,-0.22,USL1,-0.3355932203389831
Jay Tee Kamara,POR,FB,75,-0.22,USL1,-0.264
