Team_1,Team_1_ID,Team_2,Team_2_ID,Distance_miles
Chicago Fire FC,6397,Nashville SC,915807,407.71634236093746
Chicago Fire FC,6397,New Mexico United,1003208,1116.6145060989697
Chicago Fire FC,6397,Orange County SC,267813,1729.5441490189748
Chicago Fire FC,6397,Pittsburgh Riverhounds FC,267816,414.4928236079812
Chicago Fire FC,6397,Real Salt Lake City,6606,1254.7305801233
Chicago Fire FC,6397,San Diego FC,1701119,1722.0642417732345
Chicago Fire FC,6397,Tampa Bay Rowdies,197328,998.1107609737769
Chicago Fire FC,6397,Texoma FC,1701884,738.8797173422695
Chicago Fire FC,6397,Union Omaha,1121685,432.8995604725276
Chicago Fire FC,6397,Vancouver Whitecaps FC,307691,1772.688074760621
Chicago Fire FC,6397,Westchester SC,1706430,721.5597354668225
Chicago Fire FC,6397,Atlanta United FC,773958,569.3599591197116
Chicago Fire FC,6397,CF Montreal,161195,759.423041558574
Chicago Fire FC,6397,Charleston Battery,162183,755.8375584984727
Chicago Fire FC,6397,Charlotte FC,1323940,594.8170407082222
Chicago Fire FC,6397,Colorado Rapids,8314,904.9728953223147
Chicago Fire FC,6397,Colorado Springs Switchbacks FC,614321,913.1078989356512
Chicago Fire FC,6397,Columbus Crew,6001,279.4662621590475
Chicago Fire FC,6397,D.C. United,6602,604.7881215779263
Chicago Fire FC,6397,FC Cincinnati,722265,258.2226915703995
Chicago Fire FC,6397,FC Dallas,6399,773.1857439147647
Chicago Fire FC,6397,FC Tulsa,614325,589.8500053661293
Chicago Fire FC,6397,Hartford Athletic,1003206,781.3389671184332
Chicago Fire FC,6397,Inter Miami CF,960720,1158.198215158025
Chicago Fire FC,6397,Lexington SC,1430405,318.99342731126916
Chicago Fire FC,6397,Los Angeles Galaxy,6637,1742.9060306847587
Chicago Fire FC,6397,Loudoun United FC,1003205,571.5185016067533
Chicago Fire FC,6397,New England Revolution,6580,851.2612973894265
Chicago Fire FC,6397,New York City FC,546238,722.5705601741042
Chicago Fire FC,6397,New York Red Bulls,6514,717.0969575434443
Chicago Fire FC,6397,North Carolina FC,162185,638.6363113786666
Chicago Fire FC,6397,Oakland Roots SC,1130413,1842.2585611616614
Chicago Fire FC,6397,One Knoxville SC,1358088,451.09644035682675
Chicago Fire FC,6397,Orlando City FC,267810,965.3845642512289
Chicago Fire FC,6397,Philadelphia Union,191716,664.1057574260935
Chicago Fire FC,6397,Phoenix Rising FC,424268,1443.0189465372705
Chicago Fire FC,6397,Portland Hearts of Pine,1701883,900.4770910998482
Chicago Fire FC,6397,Portland Timbers,307690,1754.2699393799892
Chicago Fire FC,6397,Rhode Island FC,1597140,846.3654093847726
Chicago Fire FC,6397,Richmond Kickers,267811,620.3607660661681
Chicago Fire FC,6397,Sacramento Republic FC,521004,1785.4567018266368
Chicago Fire FC,6397,San Antonio FC,722269,1030.5125351469517
Chicago Fire FC,6397,San Jose Earthquakes,6603,1835.5902379866811
Chicago Fire FC,6397,Seattle Sounders FC,130394,1732.697642571792
Chicago Fire FC,6397,South Georgia Tormenta FC,727430,725.2366579608765
Chicago Fire FC,6397,Spokane Velocity FC,1584038,1503.8536592351604
Chicago Fire FC,6397,Sporting Kansas City,6604,407.720691165364
Chicago Fire FC,6397,St. Louis CITY SC,1427963,251.0973561463753
Chicago Fire FC,6397,Toronto FC,56453,445.6121014524278
Detroit City FC,540855,El Paso Locomotive FC,1003209,1480.8303829767242
Detroit City FC,540855,FC Naples,1701877,1117.516586437284
Detroit City FC,540855,Forward Madison FC,1004919,327.2560027990051
Detroit City FC,540855,Greenville Triumph SC,1004920,517.9197727844737
