"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Alejandro Bedoya","PHI","2025","CM","218","0.02","-0.02","0.06","0.08","0.03","-0.04","0.12"
"","Duncan McGuire","ORL","2025","ST","355","-0.15","0.06","0.02","-0.15","0.39","-0.06","0.11"
"","Jannes Horn","STL","2025","FB","779","0.17","0.11","0.01","-0.00","-0.12","-0.06","0.11"
"","Charles Sharp","TOR","2025","ST","103","0.01","-0.01","-0.02","0.05","0.15","-0.08","0.11"
"","Omar Valencia","NYRB","2025","FB","849","-0.10","0.05","0.47","-0.28","0.05","-0.08","0.11"
"","Ian Smith","POR","2025","CB","336","0.06","0.06","0.02","0.13","-0.11","-0.06","0.10"
"","Jon Gallagher","ATX","2025","FB","1159","0.03","0.29","-0.08","-0.06","-0.07","-0.01","0.10"
"","Jordi Alba","MIA","2025","FB","1152","-0.09","0.04","0.00","0.01","0.24","-0.11","0.10"
"","Theo Corbeanu","TOR","2025","W","889","0.89","-0.05","0.01","-0.32","-0.55","0.11","0.09"
"","Jordan Morris","SEA","2025","ST","321","-0.11","-0.05","-0.16","-0.29","0.57","0.13","0.09"
"","Henry Wingo","TOR","2025","FB","259","-0.07","-0.23","0.43","-0.01","-0.01","-0.03","0.09"
"","Josh Atencio","COL","2025","DM","1026","-0.08","0.02","0.19","0.22","-0.21","-0.05","0.09"
"","Nicksoen Gomis","TOR","2025","CB","528","0.01","0.03","0.27","-0.08","-0.11","-0.05","0.09"
"","Nick Hagglund","CIN","2025","CB","743","0.13","-0.17","0.26","-0.23","0.08","0.02","0.09"
"","Connor Ronan","COL","2025","CM","293","-0.14","-0.03","0.09","0.26","-0.03","-0.06","0.09"
"","Dylan Nealis","NYRB","2025","FB","678","-0.06","0.32","-0.21","-0.10","0.10","0.04","0.08"
"","Reed Baker-Whiting","SEA","2025","W","38","-0.03","-0.00","-0.00","0.02","0.07","0.03","0.08"
"","Dániel Gazdag","CLB, PHI","2025","W","1044","-0.56","-0.08","-0.31","-0.14","1.37","-0.20","0.08"
"","Cole Mrowka","CLB","2025","CM","29","0.02","0.00","0.00","0.03","-0.01","0.03","0.08"
"","Sergio Busquets","MIA","2025","DM","1199","-0.07","0.08","-0.06","0.56","-0.23","-0.21","0.08"
"","Ronald Donkor","NYRB","2025","DM","117","-0.00","0.01","0.18","-0.04","-0.04","-0.02","0.08"
"","Joaquín Fernández","SKC","2025","CB","622","0.03","0.06","-0.17","0.16","-0.03","0.01","0.07"
"","Aiden O'Neill","NYC","2025","DM","210","-0.05","0.00","0.11","0.12","-0.06","-0.06","0.07"
"","Mason Toye","SKC","2025","W","41","0.02","-0.01","0.01","-0.00","0.04","0.01","0.06"
"","Kobe Franklin","TOR","2025","FB","89","-0.02","0.00","0.04","0.06","-0.01","-0.01","0.06"
"","Kei Kamara","CIN","2025","ST","26","-0.02","-0.00","-0.01","-0.00","0.08","0.02","0.06"
"","Jalen Neal","MTL","2025","CB","251","0.02","0.02","0.02","0.02","0.01","-0.03","0.06"
"","Nathan Saliba","MTL","2025","CM","1149","-0.09","-0.05","0.54","-0.29","-0.02","-0.03","0.06"
"","Nicolas Fleuriau Chateau","VAN","2025","FB","18","0.00","-0.00","0.00","-0.01","0.04","0.03","0.06"
"","Baltasar Gallego","MIA","2025","W","18","-0.00","0.01","-0.00","0.09","-0.03","-0.01","0.06"
"","Sunusi Ibrahim","MTL","2025","ST","99","-0.04","-0.03","-0.04","-0.12","0.21","0.09","0.06"
"","Sebastian Lletget","FCD","2025","DM","603","-0.14","0.04","-0.19","0.01","0.29","0.05","0.06"
"","William Reilly","ATL","2025","DM","109","-0.02","-0.01","0.19","-0.01","-0.06","-0.04","0.05"
"","Franco Escobar","HOU","2025","FB","989","-0.29","-0.03","0.11","0.22","0.06","-0.02","0.05"
"","Leonardo Campana","NER","2025","ST","619","-0.14","-0.11","0.14","0.24","-0.19","0.10","0.05"
